indicator,ISO Country code,population,population,population,population,population,surface area (Km2),,GINI index,happy planet index,happy planet index,happy planet index,happy planet index,happy planet index,human development index,human development index,human development index,human development index,human development index,sustainable economic development assessment (SEDA),,"GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),Economic Growth,,,"health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
per person","health expenditure 
per person","health expenditure 
per person",infant mortality,"maternal mortality per 100,000 live births",,"education expenditure
% of GDP","education expenditure
% of GDP","education expenditure
% of GDP",Education as % of GDP,Education as % of GDP,% of primary school aged kids out of school,% of primary school aged kids out of school,,unemployment (%),unemployment (%),unemployment (%),unemployment (%),unemployment (%),% of population in extreme poverty,% of population with access to electricity,,political rights score ,,civil liberties score ,,political stability & absence of violence,,government effectiveness,,regulatory quality,,rule of law,,control of corruption,,judicial effectiveness score,,government integrity score,,overall economic freedom score,,financial freedom score,,government expenditure (% of GDP),,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,share of electricity from renewables generation,,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP
Korea (Dem. People’s Rep.),PRK,"25,516,321","25,638,149","25,755,441","25,867,467","25,971,909","120,408",,-,-,-,-,-,-,-,-,-,-,-,-,,-,1.00,-,-,-,0.0,0.0,0.0,0.0,2197.70,2191.53,2171.87,-,-,-,,11.23,9.86,10.09,10.86,11.97,12.39,-,12.39,-,-,-,2.7,89,,-,-,-,-,-,-,-,,2.70,4.30,2.59,2.92,2.59,-,52.31,,0.00,0.00,3.00,3.00,-0.48,-0.45,-1.69,-1.56,-2.34,-2.33,-1.71,-1.63,-1.48,-1.61,5.00,6.50,25.20,3.80,5.80,3.00,0.00,0.00,-,,0.99,1.18,2.13,1.97,2.18,0.02,,16.30,16.30,18.00,17.60,17.61,-,-,-,-,-
Korea (Rep.),KOR,"51,361,911","51,585,058","51,764,822","51,836,239","51,744,876","96,920",,35.70,24.80,-,-,39.80,-,0.90,0.92,0.92,0.92,0.93,-,,3.16,2.60,2.24,4.02,4.15,"2,164.8","2,213.4","2,194.5","2,282.8",-,-,-,47242.50,2.91,4.02,,-,-,-,-,-,-,-,-,-,2543.6,2624.5,7.6,11,,5.06,4.46,-,4.46,-,0.92,0.01,,3.65,3.70,3.75,3.93,3.53,-,100.00,,33.00,33.00,51.00,50.00,0.29,0.66,1.08,1.41,1.11,1.10,1.16,1.13,0.48,0.76,63.70,77.10,49.90,69.20,73.80,74.60,70.00,60.00,32.30,,11.91,12.02,12.20,12.23,11.80,0.74,,17.00,17.00,17.00,19.00,19.00,-,-,-,-,-
Kosovo,-,"1,791,003","1,797,085","1,788,878","1,790,133","1,786,038","10,887",,23.20,-,-,-,-,-,-,-,-,-,-,-,,4.83,3.30,4.76,9.13,10.75,19.3,20.2,19.2,20.9,43044.29,42998.39,45225.84,46918.47,3.41,9.13,,-,-,4.33,4.33,4.46,-,-,4.46,-,-,-,45.7,-,,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24.00,25.00,28.00,31.00,-0.21,-0.12,-0.41,-0.22,-0.13,-0.27,-0.42,-0.27,-0.50,-0.32,59.00,31.00,45.40,37.50,66.60,60.10,30.00,30.00,27.10,,-,-,-,-,-,-,,-,-,-,-,-,57.30,63.30,65.70,79.00,79.60
Kuwait,KWT,"4,124,904","4,317,185","4,441,100","4,360,444","4,250,114","17,818",,-,-,32.70,33.10,33.30,-,0.80,0.84,0.84,0.82,0.83,65.70,,-4.71,0.90,-0.55,-8.86,-,211.3,210.1,191.5,191.5,52290.91,52054.71,47303.13,46328.10,2.43,-,,4.40,4.77,5.85,6.37,6.39,6.49,6.55,6.55,"2,978",1733.8,1758.7,13.7,12,,-,6.39,6.55,6.39,6.55,-,-,,2.20,2.40,2.17,3.54,3.71,-,100.00,,13.00,14.00,23.00,23.00,-0.04,0.30,-0.17,-0.04,-0.06,0.17,0.10,0.26,-0.33,-0.03,53.50,42.00,36.60,43.80,62.20,58.30,60.00,60.00,51.50,,22.77,22.62,22.00,21.17,22.02,-,,3.10,3.08,5.00,6.30,1.54,6764.60,7165.30,7373.50,6941.00,9024.30
Kyrgyzstan,KGZ,"6,198,200","6,322,800","6,456,200","6,579,900","6,691,800","191,801",,33.40,33.10,52.60,50.50,53.70,57.10,0.67,0.70,0.70,0.69,0.69,45.40,,4.74,3.50,4.60,3.61,3.61,32.5,33.9,31.1,32.2,5255.78,5480.29,4985.03,5287.79,3.76,3.61,,5.53,5.99,6.59,6.03,5.55,5.37,-,5.55,287,65.7,62.1,22.0,60,,5.53,5.55,5.37,5.55,5.37,0.29,0.12,,6.89,7.70,6.92,8.71,9.10,0.20,99.98,,12.00,4.00,25.00,23.00,-0.43,-0.43,-0.71,-0.73,-0.35,-0.58,-0.93,-1.07,-1.05,-1.12,22.10,11.80,29.40,28.80,62.80,55.80,50.00,50.00,37.30,,1.72,1.60,1.52,1.78,1.56,0.86,,19.20,19.17,19.00,16.50,20.45,-,-,-,-,-
Laos,LAO,"6,997,917","7,105,006","7,212,053","7,319,399","7,425,057","230,800",,36.70,-,40.40,40.50,42.80,-,0.60,0.61,0.61,0.61,0.61,37.80,,6.89,7.00,5.46,2.53,2.53,53.6,56.5,56.8,58.3,7774.22,8219.51,8238.49,8674.03,6.25,2.53,,2.94,-,-,2.52,2.37,2.30,2.23,2.23,-,57.7,68.2,6.0,185,,2.94,2.37,2.23,2.37,2.23,8.51,8.24,,0.81,1.50,0.85,1.03,1.26,1.20,100.00,,1.00,2.00,11.00,11.00,0.43,0.73,-0.36,-0.62,-0.72,-0.89,-0.88,-0.64,-0.94,-1.04,41.40,11.10,33.10,20.40,53.60,49.20,20.00,20.00,26.30,,1.31,2.28,2.72,2.72,2.61,0.97,,27.50,27.52,28.00,27.50,21.95,-,-,-,-,-
Latvia,LVA,"1,942,248","1,927,174","1,913,822","1,900,449","1,884,490","62,249",,34.50,17.10,37.00,35.20,34.10,36.70,0.85,0.87,0.87,0.87,0.86,66.10,,3.31,2.70,2.57,4.48,4.07,57.9,59.4,57.1,59.7,30877.04,31883.26,31424.90,34468.60,3.99,4.48,,5.28,5.28,4.66,4.37,4.24,-,-,4.24,"1,429",1101.5,1166.8,-,19,,5.27,4.24,-,4.24,-,1.13,1.18,,8.72,9.90,6.31,8.10,7.60,0.20,100.00,,35.00,37.00,52.00,51.00,0.46,0.69,0.90,0.87,1.15,1.22,0.93,0.98,0.54,0.75,58.90,75.10,45.40,61.10,73.60,74.80,60.00,60.00,37.00,,3.70,3.65,3.67,4.04,3.96,0.52,,16.00,31.00,30.00,30.00,29.00,-,-,-,-,-
Lebanon,LBN,"6,109,252","5,950,839","5,781,907","5,662,923","5,592,631","10,230",,-,21.90,45.20,45.80,39.00,-,0.76,0.75,0.75,0.73,0.71,44.80,,0.78,1.00,-7.16,-10.52,-7.00,106.7,99.4,73.6,65.9,15933.40,15105.06,11376.79,10691.22,-1.88,-10.52,,2.00,2.10,2.12,2.13,2.52,2.59,-,2.52,"1,117",695.1,663.1,58.1,29,,-,2.52,2.59,2.52,-,-,-,,10.27,6.80,11.35,13.30,14.49,-,100.00,,11.00,13.00,32.00,29.00,-1.59,-1.49,-0.51,-1.29,-0.31,-0.88,-0.82,-1.07,-1.00,-1.23,33.60,27.40,20.20,22.80,53.20,47.30,50.00,50.00,26.90,,4.22,4.44,4.80,4.67,4.08,0.03,,3.10,4.69,5.00,4.70,4.69,-,-,-,-,-
Lesotho,LSO,"2,170,617","2,198,017","2,225,702","2,254,100","2,281,454","30,355",,63.20,16.70,28.00,27.70,27.30,-,0.52,0.52,0.52,0.52,0.51,29.50,,-3.14,2.50,0.93,1.02,1.35,5.5,5.6,5.2,5.3,2677.12,2768.22,2569.34,2682.24,-1.22,1.02,,7.20,9.00,7.76,8.16,7.29,7.99,7.67,8.70,251,124.7,124.2,7.7,544,,-,7.29,8.70,7.29,8.70,6.82,-,,23.20,27.40,22.44,24.56,24.60,-,47.35,,27.00,27.00,37.00,36.00,-0.25,-0.22,-0.85,-0.91,-0.32,-0.74,-0.27,-0.41,-0.03,-0.32,52.70,44.10,32.90,42.80,53.90,48.10,40.00,40.00,50.40,,0.31,0.32,0.32,0.33,0.36,1.00,,22.90,22.13,23.00,23.30,23.33,52.60,51.10,44.80,38.60,37.00
Liberia,LBR,"4,796,631","4,889,391","4,985,289","5,087,584","5,193,416","96,320",,32.00,22.20,40.70,39.10,46.00,-,0.44,0.48,0.48,0.48,0.48,30.60,,2.46,1.20,-2.47,4.00,4.99,7.4,7.3,7.0,7.3,1580.85,1531.79,1468.25,1552.81,1.16,4.00,,2.20,2.17,2.15,2.66,2.50,2.27,2.31,2.69,128,61.2,52.6,9.5,661,,-,2.50,2.69,2.50,2.69,-,-,,3.05,4.00,3.02,3.98,4.09,-,27.53,,27.00,27.00,35.00,33.00,-0.41,-0.24,-1.37,-1.38,-0.95,-0.95,-0.97,-0.93,-0.69,-0.92,42.40,23.40,32.00,25.10,50.90,47.90,20.00,20.00,36.80,,0.27,0.30,0.27,0.23,0.24,-,,12.30,12.33,12.00,12.30,10.96,-,-,-,-,-
Libya,LBY,"6,378,261","6,477,793","6,569,088","6,653,942","6,735,277","1,759,540",,-,-,43.40,42.90,42.70,-,0.71,0.72,0.72,0.70,0.72,-,,32.49,-6.40,-11.20,31.37,31.37,166.7,148.0,112.6,147.9,25556.85,22764.48,17286.37,23356.60,7.94,31.37,,-,-,-,-,-,-,-,-,-,-,-,22.0,72,,-,-,-,-,-,-,-,,19.37,19.20,19.66,20.07,19.58,-,69.71,,1.00,1.00,8.00,8.00,-2.33,-2.37,-1.77,-1.72,-2.21,-1.95,-1.78,-1.78,-1.59,-1.57,22.10,-,23.10,-,-,-,-,-,92.90,,8.29,8.11,8.65,8.74,8.38,-,,16.00,15.96,16.00,16.00,15.96,-,-,-,-,-
Lithuania,LTU,"2,828,403","2,801,543","2,794,137","2,794,885","2,800,839","62,680",,37.90,21.00,39.50,38.80,36.90,38.10,0.86,0.88,0.88,0.88,0.88,67.40,,4.28,1.60,4.63,5.00,5.98,99.3,103.8,103.7,108.9,36376.19,38540.78,38880.55,42665.32,3.99,5.00,,4.49,4.23,4.00,3.81,3.89,-,-,3.89,"1,875",1249.0,1370.0,2.3,8,,4.49,-,-,3.89,-,0.18,0.10,,7.07,9.20,6.26,8.49,7.90,0.40,100.00,,38.00,38.00,53.00,51.00,0.78,0.82,0.98,1.06,1.16,1.28,0.99,1.11,2.06,0.85,66.70,74.60,50.90,66.60,75.30,75.80,70.00,70.00,34.70,,3.81,3.90,3.97,4.16,4.20,0.48,,21.30,21.28,21.00,27.00,27.66,-,-,-,-,-
Luxembourg,LUX,"596,336","607,950","620,001","630,419","640,064","2,586",,30.40,13.20,30.30,30.90,31.70,-,0.90,0.92,0.93,0.92,0.93,83.20,,1.32,4.50,2.32,6.89,5.10,69.9,72.2,71.0,75.8,116965.59,117341.92,117846.14,134753.80,2.00,6.89,,3.86,3.77,-,3.49,3.65,-,-,3.65,"6,382",6227.1,6220.7,3.4,5,,3.99,3.89,-,3.65,-,1.00,0.62,,5.52,5.90,5.59,6.77,5.23,0.10,100.00,,38.00,38.00,60.00,59.00,1.34,1.21,1.68,1.72,1.69,1.92,1.74,1.79,1.99,1.87,77.90,96.40,79.00,89.50,76.40,80.60,80.00,80.00,41.40,,16.03,15.21,15.09,15.33,15.31,-,,28.30,20.00,25.00,30.00,35.00,323.10,355.30,386.30,405.80,460.00
Macedonia,MKD,"638,609","650,991","663,653","676,283","686,607","25,433",,33.70,23.40,-,-,43.90,-,-,-,-,-,-,52.50,,9.98,3.70,-2.51,3.96,19.27,33.5,34.8,32.7,34.0,16796.27,17546.42,16719.69,17918.08,2.88,3.96,,2.05,3.00,3.10,2.71,2.73,3.06,6.30,6.30,857,399.1,436.9,-,-,,-,3.65,-,-,-,3.00,3.53,,1.99,26.70,1.75,2.57,16.20,1.20,100.00,,21.00,28.00,37.00,39.00,-0.25,0.12,0.14,-0.08,0.50,0.42,-0.24,-0.08,-0.31,-0.35,57.00,50.20,47.40,38.70,71.30,65.70,60.00,60.00,31.50,,-,-,-,-,4.00,0.33,,34.20,-,-,-,-,-,-,-,-,-
Madagascar,MDG,"26,169,542","26,846,541","27,533,134","28,225,177","28,915,653","581,540",,41.00,-,41.70,41.90,44.20,-,0.52,0.51,0.51,0.50,0.50,31.10,,3.93,3.00,4.41,4.40,4.40,41.8,43.7,40.5,42.3,1630.09,1686.84,1543.95,1635.42,3.20,4.40,,2.38,2.21,2.69,2.70,2.84,2.99,3.10,3.10,77,22.3,19.8,5.5,335,,-,2.84,3.10,2.84,3.10,1.96,2.32,,1.82,2.10,1.86,2.47,2.59,-,33.74,,24.00,27.00,32.00,34.00,-0.33,-0.64,-1.14,-1.00,-0.69,-0.82,-0.86,-0.87,-1.05,-0.93,21.40,33.40,17.80,23.00,56.80,58.90,50.00,50.00,15.40,,0.13,0.12,0.13,0.12,0.15,0.60,,19.20,19.21,16.00,17.90,17.88,66.90,73.30,76.60,87.40,99.20
Malawi,MWI,"17,881,167","18,367,883","18,867,337","19,377,061","19,889,742","94,080",,46.10,22.10,35.10,34.70,38.70,-,0.48,0.51,0.52,0.52,0.51,32.50,,4.00,3.00,5.45,2.75,2.75,27.2,28.6,28.9,29.7,1532.49,1602.02,1591.48,1658.33,4.39,2.75,,4.84,5.61,4.75,4.03,3.32,3.71,2.91,2.91,108,37.4,30.4,7.4,349,,4.84,3.32,2.91,3.32,3.71,-,-,,5.76,6.70,5.75,6.70,7.02,29.30,14.87,,26.00,29.00,37.00,37.00,-0.27,-0.11,-0.67,-0.77,-0.75,-0.79,-0.37,-0.24,-0.65,-0.30,47.10,53.00,28.90,29.40,52.00,53.00,50.00,50.00,31.30,,0.05,0.06,0.07,0.08,0.08,0.99,,16.70,16.67,23.00,22.90,22.92,47.40,58.40,85.20,89.40,83.30
Malaysia,MYS,"31,975,806","32,399,271","32,804,020","33,199,993","33,573,874","328,657",,46.20,30.30,43.70,41.50,41.70,-,0.80,0.81,0.81,0.81,0.80,59.80,,5.81,5.00,4.41,3.13,3.09,869.5,908.1,856.8,883.6,28236.21,29620.98,27921.41,29617.30,4.84,3.13,,5.21,4.89,4.75,4.68,4.48,4.16,3.92,3.92,"1,064",426.5,436.6,5.3,29,,5.21,4.48,3.92,4.48,3.92,0.26,1.60,,3.41,3.30,3.26,4.50,4.61,-,100.00,,18.00,20.00,27.00,30.00,0.16,0.14,0.84,0.99,0.68,0.72,0.41,0.56,0.03,0.17,65.20,57.60,54.80,53.90,74.50,68.10,50.00,50.00,24.90,,7.61,7.48,7.12,7.54,7.93,0.10,,10.40,13.90,14.00,14.90,14.86,3494.80,3445.00,3265.30,3374.60,3830.20
Maldives,MDV,"472,442","489,758","504,508","514,438","521,457",298,,38.40,-,-,-,-,-,0.72,0.75,0.76,0.73,0.75,-,,7.21,1.90,7.10,30.96,41.75,9.7,10.4,6.9,9.0,19242.83,20333.92,13442.39,18232.24,8.12,30.96,,3.09,3.89,3.69,3.89,3.91,4.12,-,4.12,"1,514",786.4,854.4,17.8,53,,3.47,3.91,4.12,3.91,4.12,3.42,2.00,,5.87,3.20,5.34,6.33,6.08,-,100.00,,14.00,19.00,21.00,21.00,0.26,0.50,-0.45,0.39,-0.42,-0.52,-0.62,-0.17,-0.79,-0.37,38.80,32.10,36.60,43.10,51.10,47.30,30.00,30.00,42.60,,3.15,3.87,3.94,4.29,3.97,-,,5.90,5.88,5.00,4.60,4.60,-,-,-,-,-
Mali,MLI,"19,311,355","19,934,298","20,567,424","21,224,040","21,904,983","1,220,190",,40.10,-,37.40,35.70,39.30,-,0.43,0.43,0.43,0.43,0.43,29.70,,5.31,6.10,4.76,3.07,3.05,43.6,45.6,45.1,46.5,2338.26,2419.69,2347.80,2447.32,4.75,3.07,,3.65,3.80,3.09,3.79,3.91,3.48,3.76,3.76,118,33.4,34.3,5.6,562,,3.64,3.91,3.76,3.91,3.76,40.99,-,,7.41,8.10,7.44,7.70,7.72,3.00,50.56,,17.00,8.00,27.00,24.00,-1.91,-2.35,-0.94,-1.22,-0.57,-0.62,-0.78,-0.90,-0.63,-0.87,32.40,34.10,31.40,28.30,57.60,55.90,40.00,40.00,22.20,,0.20,0.25,0.27,0.27,0.30,0.54,,8.80,8.84,10.00,27.90,27.27,460.20,481.70,475.60,593.90,558.40
Malta,MLT,"467,999","484,630","504,062","515,332","518,536",316,,28.10,29.00,46.20,46.10,43.50,43.30,0.88,0.91,0.92,0.91,0.92,68.80,,10.93,6.30,5.92,9.41,10.30,21.6,22.9,21.0,22.9,45568.72,47407.88,43243.17,47714.45,6.03,9.41,,7.00,5.02,5.08,4.65,-,-,-,-,"3,471",2753.5,2531.9,35.0,6,,7.25,-,-,-,-,-,-,,4.00,5.30,3.62,4.26,3.50,0.10,100.00,,36.00,35.00,56.00,54.00,1.27,0.97,1.00,0.89,1.28,0.81,1.14,0.86,0.74,0.32,62.80,89.90,49.90,55.80,68.50,71.50,60.00,50.00,40.40,,3.73,2.96,3.25,3.20,3.29,0.08,,11.90,11.94,15.00,13.40,13.43,64.20,66.90,80.30,68.00,84.90
Mauritania,MRT,"4,160,015","4,270,712","4,383,849","4,498,604","4,614,974","1,030,700",,37.00,18.00,37.30,35.40,34.70,-,0.52,0.56,0.56,0.56,0.56,28.90,,6.27,1.90,5.30,2.30,2.45,22.9,24.2,23.8,24.3,5317.46,5569.54,5389.65,5591.83,4.53,2.30,,-,-,1.94,-,-,1.82,1.88,1.88,177,57.3,57.9,14.8,766,,-,15.20,15.75,15.20,15.75,19.69,23.14,,10.34,11.70,10.39,11.27,11.46,-,47.35,,9.00,14.00,21.00,21.00,-0.62,-0.67,-0.72,-0.73,-0.78,-1.06,-0.60,-0.67,-0.75,-0.82,17.60,29.90,28.90,23.50,54.00,55.30,40.00,40.00,30.10,,0.90,0.80,0.84,0.86,0.87,-,,25.20,20.26,20.00,20.30,20.26,143.80,159.00,162.40,198.50,230.90
Mauritius,MUS,"1,264,613","1,265,303","1,265,711","1,265,740","1,266,060","2,030",,35.90,27.40,50.00,48.50,51.50,51.80,0.79,0.81,0.82,0.80,0.80,60.20,,3.94,3.40,2.89,4.04,3.70,28.1,28.9,24.6,25.6,22738.69,23834.97,20528.83,22240.13,3.76,4.04,,4.92,4.89,5.01,5.02,4.83,4.72,4.61,4.61,"1,099",656.6,685.9,29.0,61,,4.92,-,1.88,-,1.88,1.30,0.33,,6.75,7.80,6.33,7.41,7.41,-,99.66,,37.00,36.00,52.00,50.00,0.99,0.86,0.90,0.85,1.00,1.17,0.68,0.87,0.20,0.47,69.60,81.70,52.10,56.50,75.10,70.90,70.00,70.00,25.40,,3.14,3.20,3.30,3.26,3.29,0.24,,11.60,11.59,20.00,20.00,20.00,22.60,22.90,21.40,18.50,19.70
Mexico,MEX,"122,839,258","124,013,861","125,085,311","125,998,302","126,705,138","1,943,945",,48.20,40.70,54.10,55.00,54.30,52.10,0.77,0.78,0.78,0.76,0.76,49.10,,2.11,2.50,-0.20,4.80,4.72,"2,514.8","2,510.1","2,305.1","2,415.7",20096.16,19862.56,18670.81,20036.46,2.19,4.80,,5.26,5.23,4.91,4.52,4.25,-,-,4.25,"1,009",521.0,540.4,25.5,33,,5.33,4.83,4.61,4.25,-,0.70,0.79,,3.42,4.00,3.48,4.45,4.38,1.00,99.40,,26.00,27.00,36.00,33.00,-0.65,-0.64,-0.03,-0.31,0.20,-0.23,-0.57,-0.80,-0.93,-1.00,39.00,40.70,26.90,32.00,64.80,63.70,60.00,60.00,27.00,,3.93,3.89,3.84,3.65,3.52,0.16,,42.60,48.20,48.00,48.20,50.00,5062.10,5839.50,6650.80,8044.90,8680.80
Moldova,MDA,"2,755,189","2,707,203","2,664,224","2,635,130","2,615,199","32,891",,26.80,-,48.90,50.60,51.00,51.50,0.70,0.77,0.77,0.77,0.77,48.70,,4.69,-1.10,3.68,13.94,13.94,33.5,34.7,32.2,36.6,12658.50,13576.29,12941.89,15637.24,4.30,13.94,,6.27,5.81,5.61,5.62,5.44,6.10,6.39,6.39,515,276.5,284.3,36.3,19,,7.46,5.44,6.39,5.44,6.39,0.65,0.79,,4.10,5.00,5.10,3.82,3.96,-,100.00,,26.00,27.00,35.00,35.00,-0.24,-0.21,-0.51,-0.40,-0.04,0.01,-0.41,-0.33,-0.80,-0.45,26.30,30.70,26.60,34.70,58.40,61.30,50.00,50.00,38.00,,2.83,2.90,2.93,3.15,3.32,0.06,,22.80,22.77,26.00,24.80,39.60,30.90,37.40,43.00,44.50,52.30
Mongolia,MNG,"3,096,030","3,163,991","3,232,430","3,294,335","3,347,782","1,553,556",,34.00,14.30,27.00,24.70,24.50,-,0.74,0.74,0.75,0.75,0.74,50.60,,5.64,2.30,5.60,1.42,1.64,38.1,40.3,38.4,39.0,12316.00,13013.05,12365.94,12862.75,7.74,1.42,,4.71,4.22,5.18,4.07,6.17,4.94,-,4.94,470,159.4,163.4,-,-,,4.71,6.17,4.94,6.17,4.94,-,-,,6.36,6.70,5.44,7.01,7.08,0.10,98.10,,36.00,36.00,49.00,48.00,0.82,0.65,-0.26,-0.47,-0.12,-0.21,-0.30,-0.23,-0.45,-0.53,30.90,57.10,34.80,37.00,55.70,63.90,60.00,50.00,37.80,,5.84,6.00,6.32,6.81,-,0.03,,17.10,17.11,17.00,17.30,17.11,87.50,96.10,99.70,112.20,108.30
Montenegro,MNE,"622,373","622,227","622,028","621,306","619,211","13,452",,31.90,25.10,43.30,43.30,41.30,44.30,0.81,0.83,0.84,0.83,0.83,-,,4.72,4.10,4.06,12.43,12.43,12.9,13.4,11.3,12.8,21513.30,23072.58,19989.65,22795.41,5.08,12.43,,-,-,-,-,-,-,-,-,957,731.5,735.2,13.2,45,,-,-,-,-,-,0.72,0.62,,16.07,17.50,15.12,17.90,18.49,1.00,100.00,,25.00,26.00,42.00,41.00,0.01,-0.15,0.15,0.01,0.30,0.43,0.01,-0.06,-0.09,-0.02,51.30,43.00,38.10,46.40,64.30,57.80,50.00,50.00,46.30,,3.79,3.45,3.65,4.02,7.15,0.51,,23.50,23.46,28.00,22.20,24.69,65.70,75.40,74.00,83.00,98.60
Morocco,MAR,"35,528,115","35,927,511","36,304,408","36,688,772","37,076,584","446,300",,40.90,32.70,53.00,49.90,50.90,49.30,0.67,0.68,0.68,0.68,0.68,45.80,,5.06,4.50,2.89,7.37,7.93,272.5,279.6,262.0,281.4,7624.84,7865.26,7368.89,8143.53,3.15,7.37,,-,4.65,-,5.12,5.35,5.93,6.75,6.75,435,174.8,174.2,2.5,70,,-,5.35,6.75,5.35,6.75,0.21,0.45,,9.24,10.00,9.28,11.45,11.47,-,100.00,,14.00,13.00,25.00,24.00,-0.41,-0.40,-0.16,-0.07,-0.23,-0.12,-0.17,-0.25,-0.13,-0.43,44.30,32.70,41.30,41.00,61.90,59.20,70.00,70.00,31.40,,1.74,1.72,1.79,1.81,1.96,0.16,,20.50,20.51,21.00,20.50,22.78,-,-,-,-,-
Mozambique,MOZ,"28,569,441","29,423,878","30,285,595","31,178,239","32,077,072","786,380",,45.60,23.70,38.30,41.60,44.20,-,0.44,0.45,0.46,0.45,0.45,26.70,,3.74,6.30,2.31,2.22,2.36,38.0,38.9,38.4,39.3,1320.55,1335.88,1297.30,1342.29,3.44,2.22,,6.88,6.01,5.87,5.51,5.45,6.08,6.26,6.26,64,40.7,39.5,49.0,289,,-,5.45,6.26,5.45,6.26,6.07,0.87,,3.45,24.40,3.47,3.81,3.98,-,30.60,,20.00,14.00,32.00,29.00,-0.98,-1.23,-0.89,-0.77,-0.73,-0.78,-1.01,-1.04,-0.86,-0.81,36.30,44.10,28.20,26.30,46.30,51.30,50.00,50.00,36.20,,0.21,0.26,0.25,0.24,0.25,0.87,,39.60,39.60,41.00,42.40,42.40,-,-,-,-,-
Myanmar,MMR,"52,288,341","52,666,014","53,040,212","53,423,198","53,798,084","676,575",,-,24.70,38.30,39.80,40.00,40.20,0.58,0.59,0.60,0.60,0.59,37.00,,5.75,7.00,6.75,-17.98,-17.91,240.0,256.2,264.3,216.8,4574.60,4939.75,5123.41,4344.94,6.40,-17.98,,1.90,2.10,1.90,2.33,2.16,2.14,-,2.16,267,59.2,60.0,19.1,250,,-,2.16,2.14,2.16,2.14,1.95,-,,1.56,0.80,0.50,1.06,2.17,-,70.40,,13.00,0.00,18.00,9.00,-1.08,-2.07,-1.05,-1.41,-0.83,-1.13,-0.95,-1.46,-0.56,-1.03,17.60,16.70,28.20,29.80,53.90,49.60,20.00,20.00,22.60,,0.37,0.42,0.62,0.63,0.68,0.60,,10.20,10.16,11.00,16.80,15.29,2222.00,1529.40,1532.10,2498.20,2107.80
Namibia,NAM,"2,364,534","2,405,680","2,446,644","2,489,098","2,530,151","823,290",,59.70,21.60,35.90,38.60,36.80,-,0.65,0.64,0.64,0.63,0.62,39.10,,-1.03,4.50,-0.84,2.43,2.66,24.7,24.5,22.5,23.1,10328.45,10223.21,9358.54,9805.18,1.06,2.43,,9.58,9.85,10.64,9.71,8.88,8.93,9.45,9.64,942,464.5,427.3,-,195,,-,8.88,9.64,8.88,9.64,1.52,1.61,,21.64,25.60,19.99,21.45,21.68,-,56.26,,30.00,31.00,47.00,46.00,0.65,0.55,0.20,0.06,-0.19,0.00,0.24,0.36,0.32,0.26,54.20,67.60,45.40,53.90,58.50,59.20,40.00,40.00,40.70,,1.84,1.78,1.81,1.76,1.69,0.98,,41.30,46.15,43.00,43.30,44.23,456.10,455.60,414.10,368.20,401.90
Nepal,NPL,"28,183,426","28,506,712","28,832,496","29,348,627","30,034,989","143,351",,32.80,30.50,48.40,49.20,53.10,-,0.57,0.60,0.61,0.60,0.60,41.70,,8.98,3.40,6.66,4.25,4.25,106.0,113.1,110.4,115.1,13960.44,14096.62,14337.27,15102.66,7.62,4.25,,3.47,3.26,3.90,4.77,4.43,4.24,4.39,4.39,151,51.1,53.2,23.8,186,,3.99,4.43,4.39,4.43,4.39,-,4.35,,3.32,3.20,3.10,4.72,5.05,-,89.90,,25.00,25.00,30.00,32.00,-0.66,-0.24,-0.88,-0.87,-0.72,-0.62,-0.68,-0.47,-0.75,-0.53,36.20,34.10,24.60,33.80,54.10,49.70,30.00,30.00,20.30,,0.26,0.37,0.44,0.53,0.47,1.00,,29.60,32.73,33.00,32.70,32.73,436.70,429.40,428.70,435.50,445.20
